"id","condition","trial","gameType","S","T","opponentType","encounter","prediction","choice","opponent_choice","rt","reward"
7778355,"repeated",82,"HG",7,8,"envious",19,100,"cooperate","cheat",2098.09999990463,7
7778355,"repeated",83,"SG",8,14,"pessimist",23,-100,"cheat","cooperate",1186.5,14
7778355,"repeated",84,"SG",8,13,"pessimist",24,100,"cooperate","cooperate",1128.60000002384,10
7778355,"repeated",85,"HG",8,8,"optimist",21,16,"cheat","cooperate",949.900000095367,8
7778355,"repeated",86,"SH",3,8,"trustful",22,25,"cooperate","cooperate",1146.5,10
7778355,"repeated",87,"SH",3,8,"optimist",22,-39,"cheat","cooperate",855.799999952316,8
7778355,"repeated",88,"SH",2,6,"pessimist",25,20,"cheat","cheat",883.699999928474,5
7778355,"repeated",89,"SG",9,14,"optimist",23,-64,"cheat","cheat",775.700000047684,5
7778355,"repeated",90,"SG",8,13,"trustful",23,36,"cooperate","cooperate",683.700000047684,10
7778355,"repeated",91,"PD",2,13,"envious",20,53,"cooperate","cheat",895.5,2
7778355,"repeated",92,"SH",1,7,"envious",21,-51,"cooperate","cheat",1404,1
7778355,"repeated",93,"SG",7,13,"pessimist",26,55,"cooperate","cooperate",1269.90000009537,10
7778355,"repeated",94,"SG",9,12,"trustful",24,42,"cheat","cooperate",912.100000023842,12
7778355,"repeated",95,"SH",3,8,"envious",22,31,"cooperate","cheat",641,3
7778355,"repeated",96,"PD",2,13,"trustful",25,43,"cheat","cooperate",1066.60000002384,13
7778355,"repeated",97,"PD",1,14,"optimist",24,67,"cooperate","cheat",749.400000095367,1
7778355,"repeated",98,"SG",8,14,"envious",23,-6,"cheat","cheat",950.399999976158,5
7778355,"repeated",99,"HG",9,6,"envious",24,62,"cooperate","cooperate",803.200000047684,10
7778355,"repeated",100,"PD",1,13,"pessimist",27,34,"cooperate","cheat",3443.30000007153,1
7778355,"repeated",101,"HG",7,8,"optimist",25,-27,"cheat","cooperate",885,8
7778355,"repeated",102,"SG",8,14,"trustful",26,42,"cooperate","cooperate",1126.69999992847,10
7778355,"repeated",103,"SH",1,7,"trustful",27,23,"cheat","cooperate",1117.60000002384,7
7778355,"repeated",104,"PD",1,13,"optimist",26,24,"cooperate","cheat",829.800000071526,1
7778355,"repeated",105,"SG",9,13,"envious",25,-29,"cheat","cheat",716.5,5
7778355,"repeated",106,"SH",3,7,"optimist",27,48,"cooperate","cooperate",1460.59999990463,10
7778355,"repeated",107,"HG",8,7,"pessimist",28,36,"cooperate","cooperate",828.5,10
7778355,"repeated",108,"HG",7,7,"trustful",28,71,"cooperate","cooperate",883,10
7778355,"repeated",109,"HG",9,8,"envious",26,79,"cooperate","cooperate",715,10
7778355,"repeated",110,"HG",9,6,"pessimist",29,68,"cooperate","cooperate",648.899999976158,10
7778355,"repeated",111,"SG",7,12,"optimist",28,-60,"cheat","cheat",1675.79999995232,5
7778355,"repeated",112,"SH",1,7,"optimist",29,46,"cooperate","cooperate",855.5,10
7778355,"repeated",113,"SH",3,8,"pessimist",30,-73,"cheat","cheat",840.5,5
7778355,"repeated",114,"PD",2,14,"envious",27,63,"cooperate","cheat",765.600000023842,2
7778355,"repeated",115,"SG",9,13,"optimist",30,45,"cooperate","cheat",773.100000023842,9
7778355,"repeated",116,"HG",8,8,"trustful",29,63,"cooperate","cooperate",1371,10
7778355,"repeated",117,"HG",9,8,"pessimist",31,46,"cooperate","cooperate",1028.59999990463,10
7778355,"repeated",118,"HG",9,7,"optimist",31,86,"cooperate","cooperate",1110.60000002384,10
7778355,"repeated",119,"SH",2,7,"trustful",30,50,"cooperate","cooperate",1041.10000002384,10
7778355,"repeated",120,"SH",1,6,"envious",28,-61,"cheat","cheat",1714.79999995232,5
7778355,"repeated",121,"SH",2,7,"envious",29,-51,"cheat","cheat",2023.20000004768,5
7778355,"repeated",122,"SG",9,13,"pessimist",32,-34,"cooperate","cooperate",2546.60000002384,10
7778355,"repeated",123,"SH",1,6,"optimist",32,54,"cooperate","cooperate",1036.39999997616,10
7778355,"repeated",124,"HG",8,6,"pessimist",33,44,"cooperate","cooperate",602.100000023842,10
7778355,"repeated",125,"HG",9,8,"trustful",31,66,"cooperate","cooperate",622,10
7778355,"repeated",126,"PD",2,12,"trustful",32,63,"cooperate","cooperate",756.399999976158,10
7778355,"repeated",127,"SG",7,14,"envious",30,65,"cooperate","cheat",638.799999952316,7
7778355,"repeated",128,"HG",7,6,"trustful",33,52,"cooperate","cooperate",866.799999952316,10
7778355,"repeated",129,"PD",1,12,"pessimist",34,59,"cooperate","cheat",985.200000047684,1
7778355,"repeated",130,"PD",3,13,"trustful",34,22,"cooperate","cooperate",3854.59999990463,10
7778355,"repeated",131,"PD",1,14,"envious",31,-56,"cheat","cheat",1328.60000002384,5
7778355,"repeated",132,"PD",3,12,"envious",32,-29,"cheat","cheat",2951.79999995232,5
7778355,"repeated",133,"PD",3,13,"pessimist",35,38,"cooperate","cheat",1483.70000004768,3
7778355,"repeated",134,"PD",2,12,"envious",33,-60,"cheat","cheat",2279.39999997616,5
7778355,"repeated",135,"PD",2,14,"optimist",33,38,"cooperate","cheat",1527.89999997616,2
7778355,"repeated",136,"SH",1,7,"pessimist",36,-68,"cheat","cheat",825.799999952316,5
7778355,"repeated",137,"PD",3,14,"envious",34,-65,"cheat","cheat",652,5
7778355,"repeated",138,"HG",7,6,"optimist",34,-77,"cheat","cooperate",809.799999952316,6
7778355,"repeated",139,"SH",1,8,"envious",35,-58,"cheat","cheat",697,5
7778355,"repeated",140,"HG",8,6,"optimist",35,-68,"cheat","cooperate",616.700000047684,6
7778355,"repeated",141,"HG",7,7,"optimist",36,33,"cooperate","cooperate",616.399999976158,10
7778355,"repeated",142,"PD",2,14,"trustful",35,-8,"cheat","cooperate",1163.60000002384,14
7778355,"repeated",143,"SG",8,12,"envious",36,30,"cooperate","cheat",587.899999976158,8
7778355,"repeated",144,"PD",3,12,"trustful",36,-46,"cheat","cooperate",749.899999976158,12
7778378,"single",1,"PD",1,13,"optimist",1,54,"cooperate","cheat",18536,1
7778378,"single",2,"SG",9,13,"optimist",2,-55,"cheat","cheat",7866,5
7778378,"single",3,"PD",2,13,"optimist",3,-40,"cheat","cheat",10499,5
7778378,"single",4,"SG",7,12,"optimist",4,-100,"cheat","cheat",4634,5
7778378,"single",5,"SH",3,8,"pessimist",1,100,"cooperate","cheat",3250,3
7778378,"single",6,"SH",2,7,"pessimist",2,-3,"cooperate","cheat",7858,2
7778378,"single",7,"HG",7,7,"optimist",5,100,"cooperate","cooperate",3100,10
7778378,"single",8,"HG",7,8,"trustful",1,100,"cooperate","cooperate",3291,10
7778378,"single",9,"PD",1,13,"trustful",2,-100,"cheat","cooperate",2285,13
7778378,"single",10,"PD",3,12,"optimist",6,-100,"cheat","cheat",3165,5
7778378,"single",11,"SG",7,14,"optimist",7,-100,"cheat","cheat",2808,5
7778378,"single",12,"HG",7,7,"pessimist",3,100,"cooperate","cooperate",3135,10
7778378,"single",13,"SH",2,6,"envious",1,100,"cooperate","cheat",59770,2
7778378,"single",14,"HG",8,8,"envious",2,100,"cooperate","cheat",2552,8
7778378,"single",15,"SG",7,12,"trustful",3,-52,"cheat","cooperate",3781,12
7778378,"single",16,"SH",3,7,"envious",3,100,"cooperate","cheat",5223,3
7778378,"single",17,"PD",3,12,"trustful",4,-72,"cheat","cooperate",3839,12
7778378,"single",18,"SG",7,14,"trustful",5,-68,"cheat","cooperate",3568,14
7778378,"single",19,"SG",8,14,"trustful",6,-72,"cheat","cooperate",2384,14
7778378,"single",20,"SG",8,14,"pessimist",4,-63,"cheat","cooperate",2841,14
7778378,"single",21,"PD",2,13,"trustful",7,-83,"cheat","cooperate",2504,13
7778378,"single",22,"PD",1,14,"envious",4,-82,"cheat","cheat",2418,5
7778378,"single",23,"SH",1,6,"optimist",8,100,"cooperate","cooperate",3486,10
7778378,"single",24,"HG",9,7,"pessimist",5,100,"cooperate","cooperate",2275,10
7778378,"single",25,"SG",7,13,"trustful",8,-50,"cooperate","cooperate",2724,10
7778378,"single",26,"SH",1,8,"pessimist",6,100,"cooperate","cheat",3192,1
7778378,"single",27,"SG",8,12,"optimist",9,-11,"cooperate","cheat",5764,8
7778378,"single",28,"SG",9,12,"envious",5,-37,"cheat","cheat",3171,5
7778378,"single",29,"PD",2,12,"trustful",9,-100,"cheat","cooperate",4340,12
7778378,"single",30,"SH",2,8,"pessimist",7,100,"cooperate","cheat",2323,2
7778378,"single",31,"PD",2,12,"pessimist",8,-67,"cheat","cheat",2498,5
7778378,"single",32,"HG",7,8,"optimist",10,100,"cooperate","cooperate",4032,10
7778378,"single",33,"HG",9,7,"trustful",10,100,"cooperate","cooperate",3406,10
7778378,"single",34,"PD",3,13,"optimist",11,-61,"cheat","cheat",374066,5
7778378,"single",35,"SH",2,6,"trustful",11,100,"cooperate","cooperate",4267,10
7778378,"single",36,"HG",7,8,"pessimist",9,100,"cooperate","cooperate",2792,10
7778378,"single",37,"HG",7,6,"trustful",12,100,"cooperate","cooperate",1744,10
7778378,"single",38,"SG",7,14,"envious",6,-38,"cheat","cheat",2091,5
7778378,"single",39,"HG",8,7,"pessimist",10,100,"cooperate","cooperate",2380,10
7778378,"single",40,"HG",8,7,"trustful",13,100,"cooperate","cooperate",1903,10
7778378,"single",41,"SG",8,13,"envious",7,-15,"cooperate","cheat",3005,8
7778378,"single",42,"SG",7,14,"pessimist",11,-42,"cheat","cooperate",2064,14
7778378,"single",43,"SG",9,14,"trustful",14,-56,"cheat","cooperate",2547,14
7778378,"single",44,"PD",2,14,"pessimist",12,-46,"cheat","cheat",2307,5
7778378,"single",45,"SH",1,7,"optimist",12,100,"cooperate","cooperate",4383,10
7778378,"single",46,"PD",2,12,"envious",8,-47,"cooperate","cheat",3044,2
7778378,"single",47,"PD",1,13,"pessimist",13,-62,"cheat","cheat",1890,5
7778378,"single",48,"HG",9,6,"pessimist",14,100,"cooperate","cooperate",2540,10
7778378,"single",49,"SH",3,8,"envious",9,100,"cooperate","cheat",2243,3
7778378,"single",50,"HG",7,6,"optimist",13,100,"cooperate","cooperate",161359,10
7778378,"single",51,"SG",9,14,"pessimist",15,-47,"cooperate","cooperate",2956,10
7778378,"single",52,"SH",3,8,"trustful",15,100,"cooperate","cooperate",10272,10
7778378,"single",53,"HG",8,6,"pessimist",16,100,"cooperate","cooperate",5890,10
